id,user_id,email,first_name,last_name,address,city,state,zip_code,referal_code,referal_code_used,first_purchase_complete,credit_available
1,tlancley0,tlancley0@google.co.jp,Tanner,Lancley,2368 Forest Dale Alley,Anaheim,CA,92812,19-074-2339,53-918-2996,false,$1.40
2,gmowsdill1,gmowsdill1@imdb.com,Gayla,Mowsdill,088 Clove Road,Paterson,NJ,07544,14-140-9650,38-145-0156,true,$9.79
3,iavieson2,iavieson2@phoca.cz,Imogene,Avieson,72 Dwight Road,Denton,TX,76205,56-334-9781,23-145-5544,true,$5.36
4,gsherrock3,gsherrock3@ovh.net,Genni,Sherrock,21 Magdeline Avenue,Akron,OH,44310,12-528-1045,82-610-7279,true,$6.91
5,pbadsey4,pbadsey4@stanford.edu,Phineas,Badsey,4870 Fair Oaks Pass,Louisville,KY,40298,11-145-0944,67-304-4570,true,$6.68
6,epouton5,epouton5@indiatimes.com,Edie,Pouton,015 Crowley Park,Arvada,CO,80005,18-069-8616,47-760-5723,false,$9.48
7,sjanczewski6,sjanczewski6@multiply.com,Sonnnie,Janczewski,0579 Kensington Lane,El Paso,TX,79923,65-293-7991,05-381-8532,false,$1.97
8,idulinty7,idulinty7@blog.com,Irwinn,Dulinty,89 Waywood Park,Hollywood,FL,33028,45-229-2551,79-341-7725,false,$2.36
9,rpiers8,rpiers8@hhs.gov,Ruperta,Piers,301 Cambridge Drive,San Diego,CA,92110,13-510-5717,89-516-2216,true,$9.25
10,dmacellar9,dmacellar9@bigcartel.com,Daryl,Macellar,60651 Fisk Avenue,Sacramento,CA,94250,73-617-5416,41-829-2086,false,$7.91
11,bmcmurraya,bmcmurraya@webeden.co.uk,Bernelle,McMurray,1 Westport Park,Wilkes Barre,PA,18768,63-910-3457,65-084-5345,false,$4.53
12,lnocklesb,lnocklesb@t-online.de,Lishe,Nockles,1 Susan Parkway,Chicago,IL,60624,48-958-0534,34-699-7573,false,$8.95
13,sivanenkoc,sivanenkoc@rakuten.co.jp,Sarge,Ivanenko,042 Village Green Lane,Anniston,AL,36205,26-442-2173,65-837-4156,true,$5.48
14,kdallemored,kdallemored@cbsnews.com,Kenna,Dallemore,76 Sugar Alley,Tulsa,OK,74149,34-392-3809,16-838-2880,true,$2.22
15,niacovoe,niacovoe@stanford.edu,Nell,Iacovo,6580 Briar Crest Street,Dallas,TX,75397,18-376-5697,29-484-5530,true,$10.00
16,jgunnerf,jgunnerf@list-manage.com,Jourdan,Gunner,42 Boyd Place,Camden,NJ,08104,87-917-4367,35-506-4355,true,$0.09
17,gfrenzlg,gfrenzlg@instagram.com,Gabbie,Frenzl,1 Southridge Way,Colorado Springs,CO,80995,06-018-7131,90-159-8598,true,$2.79
18,mmcskinh,mmcskinh@adobe.com,Merla,McSkin,56727 Sutherland Lane,Daytona Beach,FL,32118,43-174-4953,35-285-0427,true,$1.10
19,travilusi,travilusi@usa.gov,Torre,Ravilus,8 Rieder Lane,Pensacola,FL,32575,25-197-1424,99-187-1265,false,$9.41
20,ckuschaj,ckuschaj@t-online.de,Coleman,Kuscha,1244 Utah Circle,Corpus Christi,TX,78405,55-350-0170,33-185-8685,true,$1.17
21,rjurisick,rjurisick@mlb.com,Rhetta,Jurisic,2 Hauk Lane,Buffalo,NY,14215,86-541-5496,56-727-8088,true,$7.24
22,cdimaggiol,cdimaggiol@51.la,Carmina,Di Maggio,57 Mallory Place,Seattle,WA,98166,71-364-4848,77-548-3903,true,$8.33
23,dbattym,dbattym@taobao.com,Dimitry,Batty,14 Eagan Terrace,Boise,ID,83727,83-209-7039,99-352-1139,true,$1.42
24,sbrehautn,sbrehautn@wikia.com,Sayers,Brehaut,6 Del Mar Plaza,New Orleans,LA,70165,73-668-7713,14-073-1744,false,$2.75
25,cfewstero,cfewstero@businesswire.com,Curry,Fewster,11 Bellgrove Crossing,Saint Paul,MN,55146,55-713-5024,28-074-3801,false,$8.37
26,tralstonp,tralstonp@dyndns.org,Timmie,Ralston,28 Golf Park,Lexington,KY,40576,29-408-2278,39-356-1453,true,$9.24
27,kgruszkaq,kgruszkaq@auda.org.au,Kipp,Gruszka,480 Killdeer Drive,Dayton,OH,45454,65-158-0363,50-371-1261,false,$4.87
28,mpyottr,mpyottr@admin.ch,Moselle,Pyott,13572 Becker Pass,Washington,DC,20392,31-129-4735,78-197-1061,true,$5.91
29,jalyutins,jalyutins@usa.gov,Jesus,Alyutin,28103 Upham Center,Newport News,VA,23605,31-046-8306,61-111-0758,true,$6.54
30,grittert,grittert@eepurl.com,Giorgi,Ritter,8610 Gateway Lane,Boston,MA,02114,71-797-1285,39-671-3959,false,$7.63
31,vnieceu,vnieceu@google.com,Von,Niece,26949 Old Shore Way,Jacksonville,FL,32204,39-282-6552,30-220-7944,true,$2.54
32,ralbertv,ralbertv@senate.gov,Ralf,Albert,67508 Lerdahl Hill,Stamford,CT,06912,76-218-3552,34-188-2460,false,$3.21
33,atoopinw,atoopinw@eventbrite.com,Ardelle,Toopin,1 Cherokee Trail,Washington,DC,20420,90-358-2918,34-250-8012,false,$4.12
34,dgilchriestx,dgilchriestx@studiopress.com,Dmitri,Gilchriest,7 Dottie Circle,Los Angeles,CA,90010,84-413-1219,40-046-3993,false,$0.04
35,bwilldery,bwilldery@myspace.com,Bibbie,Willder,3882 Arrowood Drive,Fayetteville,NC,28305,27-446-7900,43-108-5392,true,$0.95
36,imackeeverz,imackeeverz@irs.gov,Ilyssa,MacKeever,441 Bellgrove Crossing,Aurora,IL,60505,46-415-3049,02-668-5726,false,$9.40
37,cingledew10,cingledew10@goodreads.com,Corliss,Ingledew,2783 Center Junction,San Bernardino,CA,92410,88-883-2190,54-120-3321,true,$0.58
38,lotowey11,lotowey11@ucoz.ru,Lynnelle,O'Towey,91953 Bowman Center,Evansville,IN,47712,23-426-4035,25-059-5558,false,$1.61
39,jvacher12,jvacher12@storify.com,Jeffrey,Vacher,88 1st Drive,Lake Worth,FL,33462,38-639-0246,04-606-9125,true,$4.39
40,ccroxford13,ccroxford13@un.org,Christal,Croxford,3 Stephen Crossing,Orlando,FL,32808,49-188-4218,63-613-9329,true,$7.43
41,rbrims14,rbrims14@gizmodo.com,Rania,Brims,817 Hoard Hill,Nashville,TN,37210,39-186-1994,21-107-5122,true,$6.10
42,mcallam15,mcallam15@flavors.me,Mark,Callam,822 Bluejay Avenue,Brooklyn,NY,11254,06-703-9404,06-774-8513,true,$0.17
43,tdesousa16,tdesousa16@technorati.com,Tobit,DeSousa,59 Lawn Avenue,Washington,DC,20404,87-796-0544,70-001-9130,false,$1.08
44,awhiffen17,awhiffen17@umn.edu,Andros,Whiffen,2652 Walton Way,Raleigh,NC,27615,80-706-5465,47-914-3034,true,$9.46
45,gflancinbaum18,gflancinbaum18@plala.or.jp,Garek,Flancinbaum,9171 Redwing Parkway,Amarillo,TX,79188,34-103-1830,77-195-9982,false,$1.96
46,rslark19,rslark19@posterous.com,Ramonda,Slark,53107 Vahlen Circle,Baltimore,MD,21265,32-281-6058,04-635-9241,false,$2.17
47,ebunson1a,ebunson1a@livejournal.com,Enrika,Bunson,44619 Lakewood Gardens Court,Fairbanks,AK,99790,17-030-3956,13-185-3291,false,$7.70
48,mraspison1b,mraspison1b@unblog.fr,Michael,Raspison,8 Homewood Lane,Cleveland,OH,44125,15-079-5843,40-021-5494,false,$9.60
49,qhaquin1c,qhaquin1c@marketwatch.com,Quentin,Haquin,31 Sundown Parkway,Laurel,MD,20709,40-909-9225,91-672-7798,true,$2.25
50,ileball1d,ileball1d@intel.com,Isaac,Le Ball,6839 Jenna Center,Hyattsville,MD,20784,34-820-2741,84-635-6425,true,$6.27
51,phartropp1e,phartropp1e@soup.io,Paulo,Hartropp,13 Westerfield Street,Dallas,TX,75392,15-760-1478,97-098-0168,true,$4.24
